,Наименование,Категория,Подкатегория,Безопасноcть,Качество,Общий балл,URL
0,Fine Life Крупа рисовая. рис шлифованный. первый сорт,Бакалея,Рис круглозерный,0,0,5.0000,https://rskrf.ru/goods/fine-life-krupa-risovaya-ris-shlifovannyy-pervyy-sort/
1,Крупа Рисовая Makfa. Рис шлифованный круглозерный. первый сорт,Бакалея,Рис круглозерный,0,0,5.0000,https://rskrf.ru/goods/makfa-krupa-risovaya-ris-shlifovannyy-kruglozernyy-pervyy-sort/
2,Д. Крупа рисовая шлифованная. Сорт 1,Бакалея,Рис круглозерный,0,0,5.0000,https://rskrf.ru/goods/d-krupa-risovaya-shlifovannaya-sort-1/
3,"Крупа рисовая шлифованная, фасованная под торговым наименованием «Рис круглозерный «Дон Густо». Первый сорт.",Бакалея,Рис круглозерный,0,0,5.0000,https://rskrf.ru/goods/krupa-risovaya-shlifovannaya-fasovannaya-pod-torgovym-naimenovaniem-ris-kruglozernyy-don-gusto-pervy/
4,Мистраль. Крупа рисовая фасованная. Белый круглозерный рис «Кубань». Первый сорт,Бакалея,Рис круглозерный,0,0,5.0000,https://rskrf.ru/goods/mistral-krupa-risovaya-fasovannaya-belyy-kruglozernyy-ris-kuban-pervyy-sort/
5,Националь. Крупа рисовая шлифованная (рис круглозерный). Кубанский. Первый сорт.,Бакалея,Рис круглозерный,0,0,5.0000,https://rskrf.ru/goods/natsional-krupa-risovaya-shlifovannaya-ris-kruglozernyy-kubanskiy-pervyy-sort/
6,Националь. Крупа рисовая шлифованная (рис круглозерный). Краснодарский. Первый сорт. Высшее качество,Бакалея,Рис круглозерный,0,0,5.0000,https://rskrf.ru/goods/natsional-krupa-risovaya-shlifovannaya-ris-kruglozernyy-krasnodarskiy-pervyy-sort-vysshee-kachestvo/
7,"Пассим. Крупа, рис шлифованный круглозерный. Высший сорт.",Бакалея,Рис круглозерный,0,0,5.0000,https://rskrf.ru/goods/passim-krupa-ris-shlifovannyy-kruglozernyy-vysshiy-sort/
8,Селяночка Крупа рисовая. Рис шлифованный.Круглозерный Сорт 1,Бакалея,Рис круглозерный,0,0,5.0000,https://rskrf.ru/goods/selyanochka-krupa-risovaya-ris-shlifovannyy-kruglozernyy-sort-1/
9,Крупа рисовая: рис шлифованный круглозерный «Степь»,Бакалея,Рис круглозерный,5.000,0,5.0000,https://rskrf.ru/goods/krupa-risovaya-ris-shlifovannyy-kruglozernyy-step/
