,Категория,Подкатегория,Наименование,Ссылка,Оценка
0,Бакалея,Крупы и злаковые хлопья,"Пшено ""Маркет Перекресток"" в пакетиках",https://roscontrol.com/product/psheno-market-perekrestok-v-paketikah/,"Общая = 76, Безопасность = 96, Качество = 71"
1,Бакалея,Крупы и злаковые хлопья,Пшено Passim в пакетиках,https://roscontrol.com/product/psheno-passim-v-paketikah/,"Общая = 77, Безопасность = 96, Качество = 72"
2,Бакалея,Крупы и злаковые хлопья,Пшено Prosto в пакетиках,https://roscontrol.com/product/psheno-prosto-v-paketikah/,"Общая = 75, Безопасность = 91, Качество = 70"
3,Бакалея,Крупы и злаковые хлопья,Пшено Fine Life в пакетиках,https://roscontrol.com/product/psheno-fine-life/,"Общая = 75, Безопасность = 91, Качество = 71"
4,Бакалея,Крупы и злаковые хлопья,"Пшено ""О'кей"" в пакетиках",https://roscontrol.com/product/psheno-okey-v-paketikah-visshiy-sort/,"Общая = 80, Безопасность = 87, Качество = 94"
5,Бакалея,Крупы и злаковые хлопья,Манная крупа Aro,https://roscontrol.com/product/mannaya-krupa-aro/,"Общая = 71, Безопасность = 88, Качество = 75"
6,Бакалея,Крупы и злаковые хлопья,"Манная крупа ""ВкусВилл""",https://roscontrol.com/product/mannaya-krupa-vkusvill/,"Общая = 74, Безопасность = 85, Качество = 89"
7,Бакалея,Крупы и злаковые хлопья,"Манная крупа ""Алтайская сказка""",https://roscontrol.com/product/mannaya-krupa-altayskaya-skazka/,"Общая = 72, Безопасность = 95, Качество = 68"
8,Бакалея,Крупы и злаковые хлопья,"Манная крупа ""Националь""",https://roscontrol.com/product/mannaya-krupa-natsional/,"Общая = 76, Безопасность = 96, Качество = 87"
9,Бакалея,Крупы и злаковые хлопья,"Манная крупа ""Мистраль""",https://roscontrol.com/product/mannaya-krupa-mistral/,"Общая = 77, Безопасность = 96, Качество = 88"
10,Бакалея,Крупы и злаковые хлопья,Рис Fine life круглозерный,https://roscontrol.com/product/ris-fine-life-kruglozerniy/,"Общая = 65, Безопасность = 56, Качество = 83"
11,Бакалея,Крупы и злаковые хлопья,"Рис ""Агро-Альянс"" круглозерный",https://roscontrol.com/product/ris-agro-alyans-kruglozerniy/,"Общая = 63, Безопасность = 50, Качество = 87"
12,Бакалея,Крупы и злаковые хлопья,"Рис ""Националь"" круглозерный",https://roscontrol.com/product/ris-natsional-kruglozerniy/,"Общая = 65, Безопасность = 57, Качество = 83"
13,Бакалея,Крупы и злаковые хлопья,"Рис ""Ашан"" круглозерный",https://roscontrol.com/product/ris-ashan-kruglozerniy/,"Общая = 66, Безопасность = 55, Качество = 94"
14,Бакалея,Крупы и злаковые хлопья,"Гречневая крупа ""Алтайская сказка"" в пакетиках",https://roscontrol.com/product/grechnevaya-krupa-altayskaya-skazka-v-paketikah/,"Общая = 81, Безопасность = 99, Качество = 88"
15,Бакалея,Крупы и злаковые хлопья,Гречневая крупа Prosto в пакетиках,https://roscontrol.com/product/grechnevaya-krupa-prosto-v-paketikah/,"Общая = 81, Безопасность = 96, Качество = 82"
16,Бакалея,Крупы и злаковые хлопья,Гречневая крупа Makfa в пакетиках,https://roscontrol.com/product/grechnevaya-krupa-makfa-v-paketikah/,"Общая = 76, Безопасность = 83, Качество = 77"
17,Бакалея,Крупы и злаковые хлопья,"Гречневая крупа ""Увелка"" в пакетиках",https://roscontrol.com/product/grechnevaya-krupa-uvelka-v-paketikah/,"Общая = 82, Безопасность = 99, Качество = 92"
